userName,content,score,at
Pegy Oktrisda,"Top up shopee pay, beli paket data, keseringan gagal tapi saldo kepotong, lelah harus bolak balik bikin laporan ke bank demi 200 rb ngantri bisa berjam jam pula",3,2024-07-17 11:36:58
Nurlaila Fitri,"Aplikasi ribet, salah login 3 kali malah user diblokir dan harus datang kekantor untuk aktivasi. Ribet amat, jarak berpuluh-puluh kilometer hanya untuk aktivasi user id. Belum lagi potongan biaya administrasinya luar biasa mahal dibanding bank lain, mahal banget.",1,2024-07-11 17:52:45
king shaman,Jadi susah masuk log in,2,2024-07-11 17:07:33
Sugeng Riyanto,Sudah jarang error2 lg,4,2024-07-10 21:41:59
frengky Saputra,"Apa ini maksudnya beli pulsa di aplikasi ini tulisan eror tapi saldo terkurang,pulsa gak masuk apa apaan!!!!",1,2024-07-10 10:46:44
Bayu Sutra S,"Tolong limit pembelian emoney nya jangan di batasi maksimal 200 ribu , klo bisa di tambah sampai limit 5 jt kak",4,2024-07-07 07:09:38
Linh Anh,Pas pengiriman kode OTP saya tidak menerima pesan SMS nya ke hp saya,1,2024-07-06 16:58:39
rizqy yandy,selalu gagal register pedaha no atm udah benar.sangat mengharukan,1,2024-07-05 18:56:59
YUDI & NAURA CHANNEL,Sangat membantu,5,2024-07-05 18:54:23
asir sur,Apa bisa login karena saya baru ganti hp baru,2,2024-07-01 17:40:43
yunedi SKM,Mantap 👍,5,2024-07-01 14:58:40
Dwi Oke,"Nama dan password sdh benar, tapi tetap aja nggak bisa login",1,2024-07-01 09:40:22
Sugi Yono,Gak bisa dinpaki,1,2024-06-30 15:59:34
Arsenio Mali,Yransferan palimg cepat,5,2024-06-29 09:13:35
Jeni Rahmawati AS,Sangat puas dengan aplikasi ini. Jadi kami yang tinggal di desa dan jauh dari bank bisa juga melakukan transaksi tampa harus datang ke bank 🥰🥰,5,2024-06-29 08:16:39
hendri lee,Kagak usah bikin aplikasi kalo tidak bisa dipakai..payah😡,1,2024-06-29 07:56:45
Mah Nr,"Ga bisa registrasi,kode tdk ada masuk ke nomer aku",1,2024-06-14 20:48:41
Erry Setiawan,"Aplikasi gajelas tolong di perbaiki lagi, masa masukin rekening di registrasi gabisa hadehh",1,2024-06-14 19:28:44
DWI ESTI ANGGRAENI,"Aplikasi gak bs dibuka, gangguan koneksi berhari2",2,2024-06-14 12:56:25
Sai Ful,"Sulitnya Masuk setelah Aplikasinya di Unistal dan instal ulang, di karenakan Loading-Loading Lama... Masa harus datang ke cs Bank lagi... Padahal kan Nomor Hp yang Terdaftar tetap... tidak Ganti",5,2024-06-14 12:08:30
Nuha Rajaq,gk bisa ke buka sistem erorrr,1,2024-06-14 10:48:51
Eritha Sulang Aprison Tambuang,"Mantap,sukses bank kalteng semakin Maju",5,2024-06-14 10:29:41
Kristian Mambang,Mantap,5,2024-06-14 10:22:17
Angga Pratama,Mantap,5,2024-06-14 08:19:14
efraim tobias,Saat login selalu masalah koneksi terus jadi bar ID dan Password tidak terbuka. Tolong segera diperbaiki secepatnya sudah 2 hari seperti ini terus,2,2024-06-14 05:37:05
fhebe marnika,Sudah dua hari tidak bisa di akses 🥺,3,2024-06-14 05:01:14
ALI ADMI,Mantap,5,2024-06-13 22:20:46
Suharta Nugraha,Amanah,5,2024-06-13 21:24:48
Novita Wulandari,"suka,tp sering gak bisa masuk ke aplikasinya",5,2024-06-13 18:42:29
Eldy Indra,Masih sering gangguan,2,2024-06-13 17:33:43
Sepang Phoncell,Tingkatkan,5,2024-06-13 09:34:21
Roby Satrio,"Gangguan koneksi, apa yang terjadi",5,2024-06-12 19:04:06
M.Agus Salim,Keren,5,2024-06-11 22:32:56
Setiawan Bari,"Keseringan maintenance, sama mau ngisi ke e-money nominal ny terbatas",3,2024-06-10 13:22:33
Yora Amino,Gimana nih top up ga bisa masuk saldo terpotong,4,2024-06-05 22:20:02
Aurora Luna Febriana,Tidak bisa di gunakan pergantian Hp,2,2024-06-03 19:07:35
Pejuang Hati,"Ganti HP kenapa mesti datang ke CS Bank Kalteng.. merepotkan, mana antrian lama... Beda dg Bank lain, ga perlu datang ke CS..",2,2024-06-03 08:32:58
Super Sentai,"Untuk TOPUP EMONYnya kalau bisa ada kolom untuk input manual biar nasabah isi mandiri tidak otomatis sesuai yg ada, masa maksimal pengisian cuma 200.000 #salam_barigas_uras_manuwu",2,2024-06-03 07:29:07
Sarwani 898 (Iwan),Bisa enggak mendaftar lewat hp,5,2024-06-03 01:04:02
Varo,Sering gak bisa login,1,2024-06-02 16:11:43
Rahmat Dianoor,Untuk yg kasus nya ganti hp baru. Aplikasi ini tidak bisa digunakan untuk registrasi. Selain itu pelayanan capem nya juga CS nya bisa nggak menerima nasabah yg mau registrasi m-banking 👎👎👎👎👎👎👎👎,1,2024-05-31 08:57:28
sucinarwaty S,"Ganti HP susah untuk masuk, sampai kita datang ke kantor, di bank bisa di buka, pas di rumah kita mau pakai, salah ke salah sandi, pada hal udah di catat, eror terus, udah beberapa kali ngurus di bank kalteng.",2,2024-05-29 18:54:11
Rolly Suseno,Kok sidik jari gak bisa.,4,2024-05-28 14:31:12
Benny Wijaya,"Mantap, keren.",5,2024-05-23 12:29:48
anif rahman,"Memudahkan setiap transaksi kapanpun dimanapun, terima kasih betang mobile",5,2024-05-21 19:20:01
Leli Oktaviana,"Ganti hp tapi masuk pakai username dan password yg ada malah harus registrasi, pas registrasi malah nggak bisa, nyuruh harus ke cs. Gimana dong min, sedangkan ke bank cab jaraknya lumayan dan kadang antriannya panjang banget..",2,2024-05-19 11:12:11
Nor Aiyda,Sangat membantu,5,2024-05-17 06:32:58
Msumadi Msumadi,Kurang bersahabat dgn sinyal,3,2024-05-17 02:23:23
Langkis Mezae,Sangat membantu sekali aksesnya sangat mudah.,5,2024-05-16 09:07:08
Kiyem 87,Alhamdulillah sangat membantu dalam transaksi dan cek saldo TPI agak lemot,4,2024-05-15 15:25:05
Sapi Joko,"Kenapa Aplikasi Betang Mobile sekarang tidak bisa dibuka, padahal awalnya bisa..?",2,2024-05-14 05:20:11
Lesie Lesie,Trimasih,5,2024-05-13 09:23:25
Nopri Ance,"Mudah,cepat, Terpercaya.",5,2024-05-12 06:15:42
Imar Imna,Sangat membantu saat bertransajsi dan cek saldo,5,2024-05-12 05:56:27
Ibarata WD,Semakin baik,4,2024-05-11 14:40:13
nor bainah,Terimakasih sdh mmbentu sekali dlm masalah keuangan,5,2024-05-11 06:17:53
Ira Santi,"Sangat membantu sekali Dalam cek saldo ,uang masuk dan ,transfer .",5,2024-05-10 17:58:46
Abdullah HA.,Alhamdulillah mengambil.. Transfer bisa lancar... Tingkatkan terus...,4,2024-05-10 15:04:10
Kismina Anugrawati,Sampai sejauh ini tidak ada masalah dan sangat membantu,5,2024-05-10 13:09:11
Agustinus assan,"Rasa nyaman saat bertransaksi dgn betang mibile hendak'y keamanan dan kerahasiaan hrs di jaga terus, agar kami nasabah bank bpd kalteng percaya.",3,2024-05-10 10:26:31
Adit Adit,kenapaaa gangguan koneksi terus saya tdk bisa masuk...betang tolonglaaa,1,2024-05-10 03:15:51
Lindasari Sinulingga,Betang mantap,5,2024-05-09 13:02:22
Rada Alasiyah,adaa in Qris dongg minn,5,2024-05-09 10:45:33
Maria Novia Rosa,"Terima kasih betang mobile, susah memudahkan transaksi. Semoga kedepannya lebih baik lagi.",5,2024-05-09 08:08:12
Dion Mardiono,Bagus,5,2024-05-09 05:31:44
Eko Yulyanto,Mohon untuk menambah fasilitas ganti pin atm di aplikasi jika lupa no pin atm. Terima kasih.,1,2024-05-09 04:26:33
MUHAMMAD HIPNI SY,Ok,5,2024-05-08 19:16:11
Tri Wardono,"Betang mobile sangat membantu, terimakasih",4,2024-05-08 18:08:28
"Margaretha Yenitha, M.Pd.",Membantu dalam bertransaksi,4,2024-05-08 16:23:07
Selvi Nora Indah,Bank mobile mantap,5,2024-05-08 15:01:16
Viyani Spt,Tidak bisa registrasi pdhl nomor sdh di daftarkan di bank. Hapus saja aplikasinya klo tidak berguna,1,2024-05-07 16:35:19
heru dwi saputro,"Belum bisa registrasi ulang, untuk pindah device baru",2,2024-05-03 15:37:24
Melky Aditya,"SYSTEM BURUK, GAJI BELIM MASUK SALDO HABIS REKENING OTOMATIS DITUTUP. TIDAK ADA TOLERANSI SEDIKITPUN.",1,2024-05-03 15:37:11
Warung Review,Sidik jari nya error,4,2024-04-27 17:43:48
Arif Budiman,"sampai sekarang belum bisa registrasi, diinfoka petugas bank aplikasi masih gangguan terus....sampai kapan?",4,2024-04-25 16:14:55
Fadilah Dilah,Gimana cara untuk transfer kesaldo dana,3,2024-04-20 20:34:04
Kris Krisdianto,Konyol. Registrasi No rekening ga muat di slot,1,2024-04-18 17:19:59
Dedy Ariadi,melakukan pembelian sering tertunda dan tidak pernah masuk bahkan saldo tidak kembali,1,2024-04-16 03:40:50
Deddy Djinu,Ok,5,2024-04-05 19:17:40
Diky Saputra,Kenapa makin kesini makin lemot ya app nya susah banget login mutar2 terus,3,2024-04-05 12:09:47
rahmad Ramel,"CS nya harus ditambah, karena jika ada masalah dgn mobile banking ini, mesti ke CS. Antrinya lamaaaaaa... seharian nunggu.. karena gak imbang antara petugas CS dengan jumlah costumer. Habis waktu saya.. Untuk Aplikasi Mobile Bangkingnya sangat membantu sekali utk pengelolaan rekening tabungan. TKS",2,2024-04-04 10:35:23
BOWO BOWO,"Kenapa setiap mau registrasi di apk selalu dibilang salah no rekening padahal sudah benar dan sudah mendaftar di BANK langsung ,,mohon solusinya",1,2024-04-04 07:16:33
Grace Febria,Saya download & registrasi ulang di hp saya yg baru. Eh ternyata diminta harus ke bank hanya untuk registrasi di hp baru. Padahal sudah input no.kartu atm & norek dengan benar. Kenapa harus dipersulit sih? Lebih ribet dari apl mbanking milik tetangga👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1,2024-04-03 10:43:32
Trieva Verawaty,1 mingguan ini aplikasi m-banking betang mobile super lelet. Kenapa ya?,3,2024-04-02 09:54:35
Ghita Rolys,"kenapa lagi si betang ini, kepala udh mumet knpa perusahaan gk jelas. ini pun aplikasi gk jelas ;",1,2024-04-02 09:46:12
adi prasetyo,Setelah di-update gangguan koneksi. Mohon diperbaiki untuk mempermudah kami yg jauh dri Bank,2,2024-04-01 09:38:51
Palangkaraya,"Aplikasinya g banget, mau buat user name cuma sampai buat pasword habis itu g ada lagi yang lain.... Ayo perbaiki, sebagai orang kalteng sya kecewa, sudh di bawa ke kantor juga g ada perubahan..",1,2024-03-28 21:19:58
alfian spd,Sering gangguan koneksi,2,2024-03-14 11:39:22
Muhammad Rizali,Cape harus registrasi berulang ulang ke bank kalteng...perbaikilah sistemnya biar ga ribet,1,2024-03-11 22:29:34
Amin Mk,Dlu baik-baik aja makin ke sini makin ga jelas Gangguan koneksi mulu setiap mau login ga bisa,1,2024-03-10 13:18:23
Mama Wahyu,Betang mobile mudah digunakan,5,2024-03-04 10:26:24
Amang Imittamban,Ok,5,2024-03-03 21:34:04
Harry Suwandi,"Registrasi tidak bisa, harus ke bank trus setiap ganti HP apk paling parah",2,2024-02-29 21:09:04
Realme 12,Aplikasi yg bagus dan membantu dalam transaksi perbankan,5,2024-02-29 11:19:31
YUNI TA,"lagi bermasalah, gara2 ganti hp harus regustrasi, sudah di registrasi disuruh lapor ke bank, atm juga gak bisa sampai ganti atm juga gak bisa,...sangat di persulit",3,2024-02-27 18:51:14
Arianthonopson,Aplikasi sangat bagus & membantu 🙏,5,2024-02-26 10:15:13
Rio Vebryy,Gabisa registrasi ulang gimana si ni apk busuk amatt,2,2024-02-24 11:39:41
Nyoman Mawan,"Sungguh kecewa saya sebagai mahasiswa IAHN TP Palangkaraya penerima KIP-K melalui rekening Bank Kalteng, hingga saat ini untuk dana KIP K tidak ada masuk, padahal dari pihak kampus mengatakan bahawa akan cair di tanggal 16, tapi hingga saat ini tidak ada sama sekali,",1,2024-02-23 13:36:12
Sanur Rewendy Ishan,Semoga sukses,4,2024-02-21 09:30:54
candra leo,Mantao,5,2024-02-17 16:57:51
Titin Erma,Lumayan mempermudah,4,2024-02-17 06:43:35
masko masko,sangat cocok untuk mempermudah kan bisnis online,5,2024-02-17 01:37:54
Untung Pebruanto,Sangat membatu dalam hal penhiriman dan penarikan dana,3,2024-02-16 20:55:16
Aldy Pratama,Sangat bagus dan sangat membantu terima kasih,5,2024-02-16 17:17:06
Febriana Firdana,Stlh update..malah error gk bisa kebuka lg,1,2024-02-10 19:18:25
INDRA BAYU,Kualitas sngt buruk.. Msa tiba2 eror tdk bisa masuk aplikasi lg.. Pdahal bru dari bank memperbaiki username n pasword nya..,1,2024-02-09 04:34:17
Muhammad A. Yani,"Kenapa beberapa hari ni apk kda bisa d buka lah,tolong dong pihak admin d perbaiki kendala yg ada",1,2024-02-07 15:02:33
Eka Mega Sari,Aplikasi apa ini sering banget trouble,1,2024-02-03 07:54:19
Rusdi Zha,Terimakasih kepada aplikasi sangat mudah manbantu saya. Walaupun aku sering lupa tatap ja kembil,5,2024-02-02 06:50:35
Anan aza,"Transfer ga masuk tapi saldo terpotong, mohon di perbaiki aplikasinya",1,2024-02-01 16:07:37
Man Luk,Aplikasinya bagus dan mudah,5,2024-02-01 10:56:40
aulia shanum,Aplikasi sering error. Tingkatkan agar pelayanannya lebih baik.,2,2024-01-26 21:38:08
chandra bayu,Sulit dbuka. Jaringan normal pdhl.,3,2024-01-26 21:16:55
Arman Saguni,Eror,1,2024-01-26 20:38:32
Yulius Pahoe,"Untuk saat ini,masuk menggunakan sidik jari tidak bisa digunakan lagi?",3,2024-01-25 12:05:59
Maedy Ripani,tidak bisa login sidik jari. sangat mengecewakan,1,2024-01-24 21:20:49
Enny M,"setelah diupdate mobile bankingnya saya nggak bisa transfer ke rekening diluar bank kalteng, selalu muncul silakan pilih tujuan transaksi, padahal saya sudah pilih tujuan transaksinya.. Tolong dikembalikan seperti semula saja",3,2024-01-19 18:00:42
Etew Zha,Ini gimana ya min? saya mau registrasi tapi kode otp nya ga dikasih udh 4 kali?,1,2024-01-18 15:13:44
Cici Dlh,Keren,4,2024-01-12 17:48:22
Antonius Andrey,Finger print nya tidak bisa dipakai,4,2024-01-10 19:07:15
RIVAL INDAH,Kepada pihak bang Kalteng saya mau masuk ke mobil banking saya kenapa selalu gagal registasi,1,2024-01-08 15:55:59
Syamsu Dhuha,Setelah diupdate kq ga bisa dbuka,3,2024-01-08 09:53:56
Syamsul Fajri,BB j.,4,2024-01-06 06:50:55
yuni asri,"Alhamdulillah,terbantu dengan apk ini,terimakasih PT BANK KALTENG, semoga semakin maju",5,2024-01-05 20:19:38
Rosy Uchy,Urusan jadi mudah,4,2024-01-05 19:08:13
"alhijri, Mhd",Habis update malah error,1,2024-01-05 15:12:09
deni setiawan,"Bagus buat ASN dan TKHL, ga cape ke ATM ngecek gajih masuk",5,2024-01-04 15:33:12
Ferdi Wiryawan,Sampai sejauh ini tidak pernah ada masalah dan aplikasi ini sangat membantu sekali dalam pekerjaan. Fiture2 didalamnya juga sangat lengkap tidak kalah dengan aplikasi banking dari bank bank lain. Semoga semakin baik dan ditingkatkan lagi kedepannya,5,2024-01-04 15:04:28
Devi Wulandari,Asli kada bisa dpakai 😅😅 habis d update,1,2024-01-03 17:32:23
Riko Inderson,Sangat membantu,5,2024-01-03 16:35:50
Tio “Algumeri” Algumeri,Kembali berfungsi dengan baik. Terimakasih,5,2024-01-03 05:38:18
david purba,👍,5,2024-01-02 17:33:24
Hana Bawit,"Sangat membantu dalam proses transaksi 🙏🇲🇨 Terima kasih bank Kalteng, Salam sukses selalu. GBU",5,2024-01-01 22:43:33
Jerry FC Channel,"Mau buka betang mobile di hp yg berbeda gak bisa menggunakan user n pass yg sama. Stlh ke bank cabang dibantu oleh CSnya, dibantunya hanya sampai OTP. Sudah dicb berkali2 login tapi OTPnya gak ada masuk via SMS, bagaimana ya? Mohon solusinya, trims",2,2023-12-23 21:07:21
Iis ifaa,"Diupdate ko malah sidik jari gak bisa mambaca dan harus registrasi lagi,, mohon utk dapat di perbaiki,, masa harus ke bank utk mengrus begini",3,2023-12-21 21:50:13
benz Cr28,Tolong di update sya sudah masukin data login yang benar tapi selalu di lempar kembali ke halaman login.,1,2023-12-13 10:20:35
Albert Solo,Hanya bisa di akses nasabah yang berdomisili di Kalimantan tengah saja.,3,2023-12-06 15:51:01
Jujuyu 00,Saya tf uang antar bang malah gk masuk 🥲,1,2023-12-04 12:19:36
Made Bawe,Mqntap,5,2023-12-04 00:45:01
Rey Kirgk (ANAK BUNGKAI),"Aplikasi apaan, pindah perangkat harus menghubungi CS. Ngalah-ngalahin BCA aja. Kinerja tuh diperbaiki.",1,2023-12-02 17:25:35
Lupin Ranger,Mantap sangat membantu,5,2023-11-30 10:50:25
F. Willy Satya. B,Tidak bisa registrasi di perangkat baru.,1,2023-11-29 10:15:13
Rudi Rudi,Aplikasi sering error,1,2023-11-22 21:31:14
Mila Charlina,Selalu ngga bisa dibuka.keseringan gangguan 😪,1,2023-11-14 05:16:10
Ardiansyah,"Aplikasi perbankan yg tdk memuaskan yg pernah sya gunakan,, masa error trus harus disuruh datangi kantor cabang terdekat untuk registrasi habis itu error lg minta registrasi lagi... Ini aplikasi untuk mempermudah nasabah atau bagaimana.",1,2023-11-13 21:39:09
Ahmadbudianor Budianor,Setelah update ga bsa di buka kko ga update ga bsa buka...mkin lma betang mobile mkin kya sampah ga berhuna di pasang di hp,1,2023-11-13 18:38:18
Arif Rahman,Sangat membantu,4,2023-11-13 10:56:12
Febri Saputra,"Aplikasi bagus, tp kenapa beberapa hari ini login via sidik jari tdk bisa, dan juga fitur lupa username kok tgl lahir diri sendiri aja bisa salah, hasilnya tdk bisa login sama sekali",2,2023-11-11 19:08:02
Bae Bee,Error lagi Kalau g buat bayar pdam..udah males pake apps ini,1,2023-11-11 17:03:12
YULIANTI,Kenapa sering gangguan koneksi,3,2023-11-11 16:52:58
JULIANTO DRG gzlrmn,Sangat mantapp,5,2023-11-11 15:04:29
bangroy Vlog,"Jd mlas pkai aplikasi ini, error berkepanjangan",1,2023-11-11 13:57:25
Ria Ayu Puspita,"Saya beri bintang 5 apabila apk diperbaiki. Mau transaksi tiba2 aplikasi tampilannya cuman layar putih aja, sudah beberapa kali dihapus didownload, tetap juga tidak bisa‼️",1,2023-11-11 13:20:11
Eko Prasetyowidigdo,di update malah gak bisa masuk.. gimana sih..,1,2023-11-11 11:48:06
CRISTIAN CANDRA,Mohon ditingkatkan lagi ekslarasi aplikasi kadang error tidak bisa dibuka,5,2023-11-11 11:29:29
Luciana Uci,Oke,5,2023-11-11 09:03:11
Chnz Diary,Gmn ini...udh 2 hr ga bs d pke apk nya. Mana perlu bget buat tf 🥲 tolong d perbaiki scpatx,1,2023-11-10 11:42:20
Irin Irin,Sangat memuas kan,5,2023-11-06 09:09:14
merdy ferdinand,Bagus,5,2023-11-03 09:03:26
Hatika Are,Kok bisa sisa saldo kemakan aplikasi anehh,3,2023-11-02 10:10:29
jimmy balantikan,"transfer gagal tapi saldo kesedot !!!, transaksi kedua transfer sedang di proses, sudh nunggu 5 jam blm juga masuk saldo, .. kacau",1,2023-11-01 18:41:50
Bu Raw,Lebih banyak error,1,2023-10-28 12:53:16
Emy Xiaomi,Sering error dan gak bisa dibuka.. Padahal saya sdh aman dan nyaman pakai ini.. Tp knp error lagi,3,2023-10-28 12:05:07
Alfis Syahrinnor,Lucu banget ini apk . Gak bisa di buka Kirain bakalan mempermudah eh rupanya hehee,2,2023-10-28 00:12:47
Lylia Official,"semua aplikasi gini bermanfaat. tapi sygnya aplikasi nya terlalu sering error. gk bisa di buka aplikasi nya. saat saya baca2 ternyata memang banyak yg bermasalah seperti ini. harusnya jadi perhatian pihak pengelola. edit : sudah bbrapa bulan ini setiap kali buka aplikasi di rumah selalu muncul tulisan: ""mohon maaf aplikasi tidak dapat diproses. mohon coba sesaat lagi"". kmren saya coba ke bank tiba2 disana saya masukkan pin dan user yang sama eh malah bisa masuk. balik ke rumah udh gk bisa lg. :",1,2023-10-25 08:25:21
Andri Saputra,"SETELAH UPDATE TIDAK BISA LOGIN SIDIK JARI, KLIK LUPA USER ID DISURUH MASUKKAN 16 DIGIT NO. KARTU DEBIT, TERNYATA NOMOR KARTU DEBIT-NYA TIDAK TERDAFTAR/MUNGKIN TIDAK DIDAFTARKAN CS SAAT MINTA KARTU DEBIT 😂😂😂",3,2023-10-22 08:00:40
HYYS GuruDesa,"Transaksi online transfer ke bank lain pada tanggal 18 Oktober 2023 pada pukul 15 wib, 54 menit, 16 detik dalam tempo lebih dari 24 jam berstatus masih dalam proses. Telah telpon call center tapi tidak ada solusi. Lapor ke BPK hanya diminta ngisi lembar pengaduan dan menunggu 14 hari uang kembali ke saldo rekening. Pengalaman saya di dompet digital dan bank digital lainnya, kasus seperti ini hanya dalam tempo hitungan menit setelah klarifikasi masalah langsung beres.",1,2023-10-19 18:46:31
Beres Silali,Kenapa sering ganguang,2,2023-10-12 20:15:04
Hangga Saputra,"Jangan update dlu,",1,2023-10-12 18:52:24
Ayat Yatmi,"Kenapa saat ini aplikasi Betang mobile saya tidak dapat lagi dibuka, padahal sebelumnya bisa, mohon solusinya 🙏",2,2023-10-11 11:58:09
Akhmad Rizkiani,"Setelah di update, tidak bisa menggunakan sidik jari lagi untuk log in aplikasi, mohon di perbaiki lagi aplikasinya",3,2023-10-10 06:02:34
kevin renaldo,Mobile banking error' hedeh tolong diperbaiki,2,2023-10-06 06:08:28
Marcello Yoelson,Mantap,5,2023-10-05 07:52:09
towergodek21 godek,Ardi Saputra,2,2023-10-04 22:23:16
Penggemar berat,Aplikasi lancar tidak ada kendala,5,2023-10-04 21:52:02
iko riseno,Biarkan jumlah bintang yang bicara....,1,2023-10-04 21:39:45
Ari Yunus,Pas perlu malah eror,1,2023-10-04 20:18:27
